count: 184
data: 4000 2e64e0 stack: 344a20 346a30 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
43834 43958	rtems_semaphore_release	37	37	32	23 
43958 439ac	_Semaphore_Translate_core_mutex_return_code	0	37	23	16 
44020 44074	_Thread_Enable_dispatch	0	5	3	3 
44074 440b4	_RTEMS_tasks_Free	5	5	33	18 
440b4 441c8	rtems_task_delete	0	5	44	29 
4443c 44490	_Thread_Enable_dispatch	0	5	5	5 
44490 44560	rtems_task_start	0	5	16	15 
44e9c 44eb8	_Chain_Tail	3	471	72	51 
44eb8 44ef4	_Chain_Is_tail	3	471	67	48 
45004 45094	_API_extensions_Run_postswitch	1	157	13	13 
45310 4533c	_CORE_mutex_Is_locked	62	62	35	26 
4533c 45368	_CORE_mutex_Is_inherit_priority	62	62	35	26 
45368 45394	_CORE_mutex_Is_priority_ceiling	62	62	35	26 
45394 456ac	_CORE_mutex_Seize_interrupt_trylock_body	310	62	91	58 
456ac 457c0	_API_Mutex_Lock	0	62	44	36 
45808 45838	_Thread_Disable_dispatch	0	62	3	3 
45838 4588c	_Thread_Enable_dispatch	0	62	4	4 
4588c 458d4	_API_Mutex_Unlock	62	62	43	34 
458d4 458f0	_Chain_Tail	0	12	14	8 
458f0 4594c	_Chain_Append_unprotected	26	12	34	12 
4594c 45994	_Chain_Append	0	12	20	14 
45a14 45a2c	_Chain_Head	0	5	7	6 
45a2c 45a48	_Chain_Tail	0	103	30	27 
45a48 45a84	_Chain_Is_empty	0	100	34	31 
45a84 45ad8	_Chain_Get_first_unprotected	10	5	16	9 
45ad8 45b4c	_Chain_Get	0	92	38	35 
45b4c 45b88	_CORE_mutex_Flush	0	5	9	8 
45b88 45bb4	_CORE_mutex_Is_fifo	0	5	12	10 
45c0c 45dd0	_CORE_mutex_Initialize	5	5	23	16 
45f3c 45f74	_Thread_Is_executing	0	37	22	15 
45f74 45fa0	_CORE_mutex_Is_inherit_priority	99	99	56	38 
45fcc 462d0	_CORE_mutex_Surrender	396	99	81	52 
4645c 46524	_TOD_Get	0	236	42	38 
46798 46868	_TOD_Tickle_ticks	101	52	10	10 
46898 468d8	_Heap_Free_list_remove	50	50	74	22 
46934 46984	_Heap_Free_list_insert_after	50	50	73	21 
469c4 46a24	_Heap_Align_up	0	50	22	20 
46a5c 46a80	_Heap_Block_at	0	200	59	53 
46aa4 46ac0	_Heap_Alloc_area_of_block	0	50	23	21 
46af0 46b10	_Heap_Block_size	200	300	137	78 
46b10 46b48	_Heap_Block_set_size	50	50	72	20 
46b48 46b78	_Heap_Is_prev_used	100	100	44	38 
46b78 46bc4	_Heap_Is_used	0	150	51	47 
46bc4 46bf4	_Heap_Is_free	0	50	25	23 
46c34 46c60	_Heap_Max	0	50	22	20 
46c60 46c8c	_Heap_Protection_block_initialize	0	100	46	42 
46cb8 46d34	_Heap_Protection_block_initialize_default	200	100	145	39 
46d34 46dc8	_Heap_Protection_block_check_default	212	106	194	27 
47394 47660	_Heap_Block_split	150	50	99	45 
47660 4769c	_Heap_Block_allocate_from_begin	0	50	24	22 
478a8 47a78	_Heap_Block_allocate	50	50	89	37 
47d2c 47e80	_Objects_Allocate	0	5	12	11 
47e80 47ea4	_Objects_Get_index	0	10	12	6 
47ea4 47f0c	_Objects_Set_local_object	10	10	19	11 
47f0c 47f5c	_Objects_Invalidate_Id	10	10	26	10 
47f5c 47f90	_Objects_Close	0	10	17	11 
486f4 48834	_Objects_Free	0	10	18	12 
48834 4885c	_Objects_Get_API	75	154	27	8 
4885c 48880	_Objects_Get_class	50	106	25	6 
48880 488ec	_Objects_Get_information_id	55	111	31	12 
48a3c 48b44	_Objects_Get_isr_disable	37	69	46	30 
48b44 48b98	_Thread_Enable_dispatch	0	91	4	4 
48b98 48e00	_Objects_Get_name_as_string	436	96	72	44 
48e00 48e30	_Thread_Disable_dispatch	0	148	5	5 
48e30 48e84	_Thread_Enable_dispatch	0	5	4	4 
48e84 48f54	_Objects_Get	343	143	83	45 
4924c 492ac	_Objects_Namespace_remove	10	10	25	9 
494e4 4955c	_Protected_heap_Allocate_aligned_with_boundary	0	50	43	39 
4955c 495cc	_Protected_heap_Free	0	7	19	17 
4a0d8 4a0fc	_Objects_Get_index	0	5	7	2 
4a0fc 4a164	_Objects_Set_local_object	5	5	11	5 
4a164 4a1b4	_Objects_Invalidate_Id	5	5	16	6 
4a1b4 4a1e0	_Watchdog_Is_active	5	5	12	2 
4a1e0 4a218	_Thread_Is_allocated_fp	0	5	8	3 
4a234 4a264	_Thread_Disable_dispatch	0	5	3	3 
4a264 4a294	_Thread_Unnest_dispatch	0	5	3	3 
4a294 4a3f0	_Thread_Close	15	5	53	28 
4a718 4a9ec	_Thread_Dispatch	223	162	52	37 
4a9ec 4aa14	_Objects_Get_API	0	5	3	2 
4aa14 4aa38	_Objects_Get_class	0	5	3	2 
4aa38 4aa84	_Objects_Is_api_valid	0	5	4	3 
4aa84 4aabc	_Objects_Are_ids_equal	0	10	7	2 
4aabc 4aaec	_Thread_Disable_dispatch	0	5	3	3 
4aaec 4ac84	_Thread_Get	0	10	31	21 
4b4ec 4b5e8	_Thread_queue_Dequeue	109	109	85	51 
4b600 4b61c	_Chain_Tail	0	443	60	44 
4b61c 4b658	_Chain_Is_empty	416	433	94	46 
4b6f8 4b9c0	_Thread_queue_Dequeue_priority	0	104	65	49 
4c2d4 4c30c	_States_Is_waiting_on_thread_queue	0	5	7	2 
4c30c 4c380	_Thread_queue_Extract_with_proxy	5	5	15	5 
4c380 4c3cc	_Thread_queue_Flush	0	5	10	9 
4c3cc 4c3e4	_Chain_Head	0	20	7	6 
4c3e4 4c400	_Chain_Tail	0	20	7	6 
4c400 4c448	_Chain_Initialize_empty	20	20	16	10 
4c448 4c514	_Thread_queue_Initialize	5	5	15	9 
4c8fc 4c914	_Chain_Head	0	1	3	2 
4c914 4c930	_Chain_Tail	0	1	3	2 
4c930 4c964	_Chain_Has_only_one_node	10	5	9	2 
4c964 4c9ac	_Chain_Initialize_empty	1	1	8	6 
4c9ac 4c9ec	_Chain_Extract_unprotected	12	4	12	2 
4c9ec 4ca0c	_Priority_Bits_index	0	10	8	3 
4ca0c 4ca90	_Priority_bit_map_Remove	2	1	7	4 
4ca90 4cbd0	_Priority_bit_map_Get_highest	0	5	12	12 
4cc00 4cc2c	_States_Is_ready	0	5	7	2 
4cc2c 4cc64	_Thread_Is_executing	0	5	8	3 
4cc64 4cc9c	_Thread_Is_heir	0	5	8	3 
4cc9c 4ccf0	_Thread_Calculate_heir	5	5	8	6 
4ccf0 4ce94	_Thread_Set_state	10	5	37	22 
4d2a8 4d338	_Thread_Stack_Free	10	5	22	7 
4d410 4d440	_States_Is_dormant	0	5	3	2 
4d440 4d4fc	_Thread_Start	10	5	22	11 
4d4fc 4d528	_States_Is_ready	50	50	3	2 
4d528 4d68c	_Thread_Tickle_timeslice	150	50	18	10 
4d68c 4d6a8	_Chain_Tail	43	43	3	2 
4d6a8 4d6dc	_Chain_Has_only_one_node	150	50	5	2 
4d6dc 4d71c	_Chain_Extract_unprotected	215	43	8	2 
4d71c 4d778	_Chain_Append_unprotected	215	43	10	4 
4d778 4d7b0	_Thread_Is_heir	50	50	5	4 
