count: de
data: 4000 2d0f80 stack: 334350 336360 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
31ca0 31d54	_Scheduler_priority_Unblock	35	5	30	6 
31e00 31eb4	_Scheduler_priority_Yield	38	6	20	8 
320e0 32204	_Thread_Close	30	5	48	22 
32360 324d4	_Thread_Dispatch	29	102	47	31 
324e0 32594	_Thread_Get	0	10	11	11 
328a0 3294c	_Thread_queue_Dequeue	87	92	25	13 
32960 32a7c	_Thread_queue_Dequeue_priority	328	127	35	7 
32e00 32e34	_Thread_queue_Extract_with_proxy	5	5	8	3 
32e40 32e5c	_Thread_queue_Flush	0	5	4	4 
32e60 32ec4	_Thread_queue_Initialize	5	5	8	3 
33000 33054	_Thread_Set_state	5	5	13	8 
33120 3314c	_Thread_Stack_Free	10	5	15	5 
331c0 33208	_Thread_Start	10	5	18	8 
33220 33270	_Timestamp64_Divide	2	2	3	2 
33360 333b0	_User_extensions_Thread_begin	20	5	12	8 
33500 33550	_User_extensions_Thread_delete	20	5	15	11 
33560 335b4	_User_extensions_Thread_start	20	5	13	9 
335c0 3360c	_User_extensions_Thread_switch	20	10	10	8 
33880 33888	_Watchdog_Nanoseconds_since_tick_default_handler	0	320	3	3 
33a20 33acc	_Watchdog_Tickle	0	6	7	7 
33bc0 33bdc	_Workspace_Free	0	34	2	2 
33d78 33e14	_CPU_Context_switch	10	10	7	2 
33f20 33f48	_CPU_Context_Initialize	15	5	17	2 
34540 34548	rtems_filesystem_default_freenode	0	7	2	2 
346c0 3472c	IMFS_allocate_node	4	2	20	16 
34740 348e8	IMFS_create_node	10	2	25	17 
349e0 34a60	IMFS_evaluate_permission	32	16	25	14 
34a60 34b04	IMFS_Set_handlers	21	7	27	17 
34bc0 34f94	IMFS_eval_path	14	7	33	24 
35180 35538	IMFS_evaluate_for_make	2	2	26	25 
35640 35738	IMFS_find_match_in_dir	71	9	19	9 
35740 35828	IMFS_get_token	0	16	26	23 
358a0 3592c	IMFS_check_node_remove	0	5	5	5 
359c0 35ab8	IMFS_stat	25	5	47	31 
35ba0 35c2c	close	10	5	19	14 
35c40 35c50	_close_r	0	5	2	2 
35c60 35d48	ftruncate	2	2	12	10 
35d60 35d74	getegid	0	18	5	5 
35d80 35d94	geteuid	0	18	5	5 
35da0 35de0	rtems_libio_fcntl_flags	0	5	6	6 
35e40 35efc	rtems_libio_allocate	10	5	15	11 
35f00 35f68	rtems_libio_free	10	5	11	7 
36060 36128	rtems_libio_is_file_open	23	5	16	11 
36480 36548	read	420	210	11	7 
36560 36578	_read_r	0	210	2	2 
36680 36748	write	60	30	17	13 
36980 36a78	_POSIX_signals_Post_switch_extension	291	97	26	8 
36ca0 36d08	_POSIX_Threads_Delete_extension	15	5	24	9 
372e0 372ec	_RTEMS_tasks_Start_extension	10	5	12	2 
37300 37360	_RTEMS_tasks_Switch_extension	20	10	10	4 
373a0 373d8	_RTEMS_tasks_Delete_extension	10	5	15	5 
37460 374e8	_RTEMS_tasks_Post_switch_extension	194	102	20	8 
37640 3768c	_TOD_Get_uptime	7	10	17	11 
376a0 37b08	_Heap_Allocate_aligned_with_boundary	50	50	70	20 
37b20 37eb0	_Heap_Free	165	41	143	42 
380e0 38110	_Objects_API_maximum_class	0	30	3	3 
38120 38198	_Thread_Load_environment	15	5	18	3 
381a0 38244	_Thread_queue_Dequeue_fifo	5	5	12	7 
38480 384b8	_Thread_Ready	5	5	13	8 
38580 385ac	memfile_close	5	5	11	8 
385e0 38618	memfile_alloc_block	0	34	16	16 
38620 388bc	IMFS_memfile_get_block_pointer	712	328	25	16 
388c0 38af8	IMFS_memfile_read	630	210	22	14 
38b00 38b20	memfile_read	420	210	6	2 
38b20 38bd4	IMFS_memfile_addblock	116	62	17	13 
38f20 390ac	IMFS_memfile_extend	30	34	19	17 
390c0 392cc	IMFS_memfile_write	60	32	25	21 
392e0 39310	memfile_write	90	30	16	10 
39320 393d0	memfile_open	15	5	12	4 
393e0 39438	memfile_ftruncate	8	2	12	4 
39b40 39b8c	rtems_assoc_local_by_remote_bitfield	0	5	4	4 
39ba0 39bc4	rtems_assoc_local_by_remote	0	9	8	8 
39c20 39cb8	rtems_assoc_ptr_by_remote	0	9	11	11 
39cc0 39d30	_POSIX_Threads_cancel_run	15	5	18	3 
39d40 39df0	_POSIX_Keys_Run_destructors	5	5	9	4 
3a640 3a75c	_Thread_Handler	0	5	41	21 
3a9b8 3a9c8	__errno	0	788	5	5 
3aaf0 3ab0c	fclose	10	5	13	8 
3ab0c 3ad60	__sflush_r	8	2	23	15 
3ae5c 3aed0	fgetc	14	4	19	10 
3aed0 3b00c	_fgets_r	4	2	12	9 
3b00c 3b034	fgets	0	2	3	3 
3b034 3b06c	fileno	18	12	18	6 
3b0a0 0	std.isra.0	18	9	19	7 
3b238 3b360	__sfp	29	5	19	12 
3b454 3b564	_fopen_r	10	5	20	15 
3b564 3b584	fopen	0	5	3	3 
3b5b8 3b5f8	fprintf	0	2	7	7 
3b5f8 3b820	_fread_r	4	2	18	15 
3b820 3b850	fread	0	2	3	3 
3befc 3bfa0	_fwrite_r	28	6	65	52 
3bfa0 3bfd0	fwrite	0	6	3	3 
3c174 3c2a0	memchr	2	2	5	3 
3c2a0 3c38c	memcpy	541	273	244	12 
3c38c 3c4ac	memset	58	63	80	28 
3d154 3d360	__srefill_r	849	210	39	23 
3d360 3d3c8	__srget_r	546	182	26	15 
3d4b8 3d544	sscanf	0	1	8	7 
3d5c8 3d61c	__sread	420	210	9	5 
3e188 3e27c	strncpy	2	2	6	4 
3fa40 3fc5c	_strtol_r	0	1	12	11 
42d20 4426c	__ssvfscanf_r	0	1	38	33 
44270 442b0	time	0	2	7	7 
45a40 4806c	_vfprintf_r	8	2	56	49 
4b8c8 4b974	__sflags	0	5	6	6 
51d00 51d10	_free_r	0	5	2	2 
51d20 51dc4	fstat	10	5	13	9 
51de0 51df4	_fstat_r	0	5	2	2 
51f80 51f90	_malloc_r	0	5	2	2 
51fc0 51fd8	_write_r	0	30	2	2 
2486 
4 c[14f20,14f50) c[1c880,1c884) c[14f54,14f58) c[2efc0,2efc4) 
4 c[15040,15090) c[1b660,1b664) c[15094,15098) c[2efc0,2efc4) 
4 c[15180,151d0) c[1b660,1b664) c[151d4,151d8) c[2efc0,2efc4) 
4 c[152c0,15300) c[15680,15684) c[15304,15308) c[2efc0,2efc4) 
42 c[15680,1569c) c[3b564,3b568) c[3d360,3d364) c[15720,15754) c[156a0,1571c) c[209c0,209e0) c[28ac0,28ad0) c[28ad8,28c30) c[1dca0,1dca4) c[28c34,28cd4) c[28cf8,28cfc) c[32360,32364) c[28d00,28d30) c[22000,22020) c[28e94,28ecc) c[28eec,28ef4) c[28d40,28d44) c[28d60,28e90) c[3aaec,3aaf4) c[3ab10,3ab38) c[3aca8,3acbc) c[3ac08,3ac10) c[3aa4c,3aa64) c[3d6d0,3d6e0) c[35c40,35c44) c[3aa68,3aa7c) c[3aae0,3aae8) c[51d00,51d04) c[3aa80,3aa88) c[3aaa0,3aaac) c[3aab8,3aad0) c[3b360,3b370) c[21b80,21ba0) c[15300,15304) c[ea688,ea690) c[e62a8,e6aa8) c[2cfa68,2cfa70) c[2d03a8,2d03b8) c[2cfba8,2cfbb0) c[2cf940,2cf948) c[2d03d0,2d03d8) c[ea500,ea508) 
7 c[15c40,15cdc) c[3b00c,3b010) c[15ce0,15cf0) c[15d04,15d58) c[15e5c,15e60) c[15e68,15e6c) c[15e74,15e78) 
