count: 12f
data: 4000 ce870 stack: 10cc38 116c48 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
267c4 26814	_Heap_Free_list_insert_after	1319	1319	1324	3 
26854 268b4	_Heap_Align_up	0	1319	5	3 
268ec 26910	_Heap_Block_at	0	5276	10	4 
26934 26950	_Heap_Alloc_area_of_block	0	1319	4	2 
26980 269a0	_Heap_Block_size	5276	7913	1334	6 
269a0 269d8	_Heap_Block_set_size	1319	1319	1323	2 
269d8 26a08	_Heap_Is_prev_used	2638	2638	8	2 
26a08 26a54	_Heap_Is_used	0	3955	15	11 
26a54 26a84	_Heap_Is_free	0	1319	6	4 
26ac4 26af0	_Heap_Max	0	1319	4	2 
26af0 26b1c	_Heap_Protection_block_initialize	0	2638	10	6 
26b48 26bc4	_Heap_Protection_block_initialize_default	5276	2638	2647	3 
26bc4 26c58	_Heap_Protection_block_check_default	7940	3970	2671	4 
27224 274f0	_Heap_Block_split	3957	1319	1350	27 
274f0 2752c	_Heap_Block_allocate_from_begin	0	1319	6	4 
27738 27908	_Heap_Block_allocate	1320	1319	1356	33 
27bbc 27d10	_Objects_Allocate	0	1	8	7 
27d10 27d34	_Objects_Get_index	0	2	4	2 
27d34 27d9c	_Objects_Set_local_object	2	2	8	5 
27d9c 27dec	_Objects_Invalidate_Id	2	2	10	6 
27dec 27e20	_Objects_Close	0	2	8	6 
28584 286c4	_Objects_Free	0	2	8	6 
286c4 286ec	_Objects_Get_API	6	10	10	4 
286ec 28710	_Objects_Get_class	4	8	8	2 
28710 2877c	_Objects_Get_information_id	6	10	14	8 
288cc 289d4	_Objects_Get_isr_disable	277	554	32	10 
289d4 28a28	_Thread_Enable_dispatch	0	2	4	4 
28a28 28c90	_Objects_Get_name_as_string	28	4	40	32 
28c90 28cc0	_Thread_Disable_dispatch	0	283	3	3 
28cc0 28d14	_Thread_Enable_dispatch	0	2	4	4 
28d14 28de4	_Objects_Get	299	283	42	13 
290dc 2913c	_Objects_Namespace_remove	2	2	8	4 
29374 293ec	_Protected_heap_Allocate_aligned_with_boundary	0	1319	15	11 
293ec 2945c	_Protected_heap_Free	0	1318	13	11 
29f68 29f8c	_Objects_Get_index	0	2	4	2 
29f8c 29ff4	_Objects_Set_local_object	2	2	8	5 
29ff4 2a044	_Objects_Invalidate_Id	2	2	10	6 
2a044 2a070	_Watchdog_Is_active	2	2	6	2 
2a070 2a0a8	_Thread_Is_allocated_fp	0	2	5	3 
2a0c4 2a0f4	_Thread_Disable_dispatch	0	2	3	3 
2a0f4 2a124	_Thread_Unnest_dispatch	0	2	3	3 
2a124 2a280	_Thread_Close	6	2	38	28 
2a5a8 2a87c	_Thread_Dispatch	4	2921	20	17 
2a87c 2a8a4	_Objects_Get_API	0	2	3	2 
2a8a4 2a8c8	_Objects_Get_class	0	2	3	2 
2a8c8 2a914	_Objects_Is_api_valid	0	2	4	3 
2a914 2a94c	_Objects_Are_ids_equal	0	4	4	2 
2a94c 2a97c	_Thread_Disable_dispatch	0	2	3	3 
2a97c 2ab14	_Thread_Get	0	4	25	21 
2b37c 2b478	_Thread_queue_Dequeue	2919	2918	47	22 
2b490 2b4ac	_Chain_Tail	0	12982	19	4 
2b4ac 2b4e8	_Chain_Is_empty	11664	12981	33	6 
2b588 2b850	_Thread_queue_Dequeue_priority	3	2916	39	21 
2c164 2c19c	_States_Is_waiting_on_thread_queue	0	2	4	2 
