count: 139
data: 4000 2624e0 stack: 2a0620 2aa630 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
367c4 36814	_Heap_Free_list_insert_after	1	1	5	3 
36854 368b4	_Heap_Align_up	0	1	4	3 
368ec 36910	_Heap_Block_at	0	4	7	4 
36934 36950	_Heap_Alloc_area_of_block	0	1	3	2 
36980 369a0	_Heap_Block_size	4	6	12	6 
369a0 369d8	_Heap_Block_set_size	1	1	4	2 
369d8 36a08	_Heap_Is_prev_used	2	2	6	2 
36a08 36a54	_Heap_Is_used	0	3	13	11 
36a54 36a84	_Heap_Is_free	0	1	5	4 
36ac4 36af0	_Heap_Max	0	1	3	2 
36af0 36b1c	_Heap_Protection_block_initialize	0	2	8	6 
36b48 36bc4	_Heap_Protection_block_initialize_default	4	2	9	3 
36bc4 36c58	_Heap_Protection_block_check_default	36	18	35	4 
37224 374f0	_Heap_Block_split	3	1	31	27 
374f0 3752c	_Heap_Block_allocate_from_begin	0	1	5	4 
37738 37908	_Heap_Block_allocate	1	1	21	19 
37bbc 37d10	_Objects_Allocate	0	1	8	7 
37d10 37d34	_Objects_Get_index	0	3	5	2 
37d34 37d9c	_Objects_Set_local_object	3	3	12	7 
37d9c 37dec	_Objects_Invalidate_Id	3	3	12	6 
37dec 37e20	_Objects_Close	0	3	10	7 
38584 386c4	_Objects_Free	0	3	11	8 
386c4 386ec	_Objects_Get_API	6	10	10	4 
386ec 38710	_Objects_Get_class	4	8	8	2 
38710 3877c	_Objects_Get_information_id	6	10	14	8 
388cc 389d4	_Objects_Get_isr_disable	11	21	22	12 
389d4 38a28	_Thread_Enable_dispatch	0	2	4	4 
38a28 38c90	_Objects_Get_name_as_string	28	4	40	32 
38c90 38cc0	_Thread_Disable_dispatch	0	19	5	5 
38cc0 38d14	_Thread_Enable_dispatch	0	2	4	4 
38d14 38de4	_Objects_Get	34	18	35	16 
390dc 3913c	_Objects_Namespace_remove	3	3	11	5 
39374 393ec	_Protected_heap_Allocate_aligned_with_boundary	0	1	13	11 
393ec 3945c	_Protected_heap_Free	0	1	13	11 
39f68 39f8c	_Objects_Get_index	0	2	4	2 
39f8c 39ff4	_Objects_Set_local_object	2	2	8	5 
39ff4 3a044	_Objects_Invalidate_Id	2	2	10	6 
3a044 3a070	_Watchdog_Is_active	2	2	6	2 
3a070 3a0a8	_Thread_Is_allocated_fp	0	2	5	3 
3a0c4 3a0f4	_Thread_Disable_dispatch	0	2	3	3 
3a0f4 3a124	_Thread_Unnest_dispatch	0	2	3	3 
3a124 3a280	_Thread_Close	6	2	38	28 
3a5a8 3a87c	_Thread_Dispatch	4	21	19	18 
3a87c 3a8a4	_Objects_Get_API	0	2	3	2 
3a8a4 3a8c8	_Objects_Get_class	0	2	3	2 
3a8c8 3a914	_Objects_Is_api_valid	0	2	4	3 
3a914 3a94c	_Objects_Are_ids_equal	0	4	4	2 
3a94c 3a97c	_Thread_Disable_dispatch	0	2	3	3 
3a97c 3ab14	_Thread_Get	0	4	25	21 
3b37c 3b478	_Thread_queue_Dequeue	18	18	29	12 
3b490 3b4ac	_Chain_Tail	0	69	14	5 
3b4ac 3b4e8	_Chain_Is_empty	64	67	32	7 
3b588 3b850	_Thread_queue_Dequeue_priority	0	16	19	10 
3c164 3c19c	_States_Is_waiting_on_thread_queue	0	2	4	2 
