count: e5
data: 4000 c4440 stack: 102290 10c2a0 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
283c8 28498	_Objects_Get	25	9	25	15 
28790 287f0	_Objects_Namespace_remove	2	2	8	4 
28a28 28aa0	_Protected_heap_Allocate_aligned_with_boundary	0	6	13	11 
28aa0 28b10	_Protected_heap_Free	0	6	13	11 
295e8 2960c	_Objects_Get_index	0	2	4	2 
2960c 29648	_Objects_Set_local_object	2	2	6	3 
29648 29698	_Objects_Invalidate_Id	2	2	10	6 
29698 296c4	_Watchdog_Is_active	2	2	6	2 
296c4 296fc	_Thread_Is_allocated_fp	0	2	5	3 
29718 29748	_Thread_Disable_dispatch	0	2	3	3 
29748 29778	_Thread_Unnest_dispatch	0	2	3	3 
29778 298d4	_Thread_Close	6	2	38	28 
29bfc 29ed0	_Thread_Dispatch	4	21	15	15 
29ed0 29ef8	_Objects_Get_API	0	2	3	2 
29ef8 29f1c	_Objects_Get_class	0	2	3	2 
29f1c 29f68	_Objects_Is_api_valid	0	2	4	3 
29f68 29fa0	_Objects_Are_ids_equal	0	4	4	2 
29fa0 29fd0	_Thread_Disable_dispatch	0	2	3	3 
29fd0 2a168	_Thread_Get	0	4	25	21 
2a9a4 2aaa0	_Thread_queue_Dequeue	19	19	22	11 
2aab8 2aad4	_Chain_Tail	0	74	10	5 
2aad4 2ab10	_Chain_Is_empty	68	74	20	7 
2abb0 2ae78	_Thread_queue_Dequeue_priority	0	17	15	10 
2b78c 2b7c4	_States_Is_waiting_on_thread_queue	0	2	4	2 
2b7c4 2b838	_Thread_queue_Extract_with_proxy	2	2	9	5 
2bdb4 2bdcc	_Chain_Head	0	1	3	2 
2bdcc 2bde8	_Chain_Tail	0	1	3	2 
2bde8 2be1c	_Chain_Has_only_one_node	4	2	6	2 
2be1c 2be64	_Chain_Initialize_empty	1	1	8	6 
2be64 2bea4	_Chain_Extract_unprotected	3	1	6	2 
2bea4 2bec4	_Priority_Bits_index	0	4	5	3 
2bec4 2bf48	_Priority_bit_map_Remove	2	1	7	4 
2bf48 2c088	_Priority_bit_map_Get_highest	0	2	12	12 
2c0b8 2c0e4	_States_Is_ready	0	2	4	2 
2c0e4 2c11c	_Thread_Is_executing	0	2	5	3 
2c11c 2c154	_Thread_Is_heir	0	2	5	3 
2c154 2c1a8	_Thread_Calculate_heir	2	2	8	6 
2c1a8 2c34c	_Thread_Set_state	4	2	28	22 
2c760 2c7f0	_Thread_Stack_Free	4	2	13	7 
2c8c8 2c8f8	_States_Is_dormant	0	2	3	2 
2c8f8 2c9b4	_Thread_Start	4	2	16	11 
2c9e0 2cb44	_Thread_Tickle_timeslice	40	20	6	5 
2cdac 2ce70	_Timespec_Add_to	136	48	24	10 
2ce70 2cf2c	_Timespec_Subtract	4	2	8	4 
2d134 2d150	_Chain_Tail	0	10	4	3 
2d18c 2d1c8	_Chain_Is_tail	0	10	6	5 
